Rank,Title,Artiste,ImageUri,LastPosition,HighestPosition,MusicLink
13,Catalyst,Seyi Vibez,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxITEhUTExMVFRUXFxUYFxgXGBcVFxcXFRcXFxcXFRUYHSggGB0lHRUXITEhJSkrLi4uGB8zODMtNygtLisBCgoKDg0OFxAPFSsdFx0rKy0tKy0tKysrKy0tLS0tLSstLS4tKysvKzcrNzArKzcuKy4tNy0uKzItKystLy03N//AABEIAOEA4QMBIgACEQEDEQH/xAAbAAABBQEBAAAAAAAAAAAAAAAFAAECAwQGB//EAEYQAAEDAgQCBwYDBQUGBwAAAAEAAhEDBBIhMUEFUQYTImFxgZEHMqGxwfAjUtEUQmJy4SQmc4KyFSUzNGO0Q1OSk6TC8f/EABgBAQEBAQEAAAAAAAAAAAAAAAABAgME/8QAJBEBAQACAgECBwEAAAAAAAAAAAECESExQZHwI2FxgaHB0RL/2gAMAwEAAhEDEQA/APKGv5qyQrIPMJAH+H4IKS1VXM4SFr/9PwSLZH7pQ0GNs3PwFuYOR/hI5+SOcIo0yS1o92M+/ms1IYZwhonWClRJYZaAD4z8yizhK9bFVxH8JHp/RFeJ25DGVme6QD/LIzB5jM+iFVKhcZIE/fetLOI1BT6rLAQRBzy1yOoQDabix8EjUjyPcuv6LcR6prC8g03Etn/y37hw/KdVy7xJkt2HPZarG8dSDw1gOMjFiGLPu5IDXSyzDKgI914cByAcNvOEV6I1g+m3Uy3A7kIlp+IXK3XFKj6YpuAwtOXZMjunklYcYq0QQwCCZzE5nWEG/pXb4X29QaNeA6PENPrHxR3itKbZ3ZI9w55kw4ZeS5TiHGKlYQ8CJxZCM5B18QFaOkFbDhyIjdoKDDxCjidbM0BD3HwxST6NWvhl1g62HBrQMeYk6aBY6lZziCRmGFg27LpkfE5qrD/CNIzI09UGa2YKl1EZOfPqZXQ9IauBnVc3DH4uJqEeUgeSDW7hScHtDQ4aEkH4EpXPFC5xcRicXYtP3jvyRI6bhtuwhoyyOkSY05ZLj+IGXud+ZxPqSVOvxOqzQ4J5EEoeKkZ7/JDK7bP2geYW3hjO2CMwRn3EoQ13h4lW0qzhmCqkrtrAtYH1XQW0xIG5cfdAXFXlV1R7qjz2nGT+gRjgvExiawgYi9pGLNuLICfMBZOMWvVVXsJBIOZHM5x8VFy55DMknOTnNQcFWESVOiDqFANUwZ0QaetPJvokqEkXYqWqJYrFGVG0MKfCpFKUESxRDVMlRQSdSgSohqvaJVMoHNPvSLFOkQpPQJlAndRdQgjvV9s/KNE9U5eYRdKXW51mf6KAoEidluYJH3vAVLGnMaZoaZXU02FTruOzSVS4P3EeKJUuoBBdllzVXWgJnVOzCoy7/kjNrLWJc4n0URTnRaWRMR+iQaHHLJVFTGc/1VgA1GX3spRkqsZiNfogmzXwV9Zzny4mSdTrn3rJJiR5q+2pPjG3bUfeqCyhQBGZgqVW2AErVRYKjcQyKf8AZyBEqNaCi1NEIvTtGjXVZeIW+4TaXGxjgJJ+rHNJVBUlRlMmlRtIpkxKaUClIJiUkRbSKaoIUUqh3RSDleXSFmU2P2QW2789PqlXfnChTyco1XZnxQ26Lo1xJlIOxF+bqThh36t+IzmNts/LIqNbi0tLAST+NhJBzNSrSqNJJcTAw1NSSMWp1QW2qLVSsy7N2Q5fqoro6nSijjqmH9pwIhoOQDGx70D3Tz+oAcVug9mFr3uJq1KjgQY7UBhbL3HSdfzHPJWssmjZXspAbBDQAbR35VV1IntD6rpzCy3NkHePMaqn+XMvB1jJRAEorcWLmg7/AF8kMqsjMaIxZpF3dsoPAIMSPmrgQBnOSbICFUU2lGX4XE58vqj7MLAAIhCqDttQrmnUbKNYtRuBsourDks5ERyUw8IuyNbmpdbIjVIgJM5oIfs7eSSuxlMi6UylKYlKUZIpJsSYlA8pApsSUoHKYlMnlA7HJFMD3LoOH2WEYi3E6BroDv6IsmwynZVHdoCB36+Q1VvDrWceNsDRoOuUyZ21+CIik4ukuy7v1WgU1GtMFpZtp65n70W9jAdEK4k9zSORVtrcRBBy+9UG5zClC1UYeNVE0DKKz4FaykVd1avoU80GCvSyXIXtMB5g5T8+S7HpHdtpUj+Z2TdPMrkP2F5pOq7Zx3zGY7u9VjLljaSfp8lcw84+wpOszDS0jMZjSPVVQfTJVhNrsJV7Fl6zYnP4/BTZWCixoJScOX/4qhUBUmOzlFTY7ZXUSqXiCrWkAIsW5JlHGEkaUJlOE0IwgmKmQmIQRlNKlCYhEMSmc4BQqvjLdUNbMobarW7DXtMEwfuF1dbijqrWsjC0AZbkgRnHdsud4fahvaOvyRmytnv91sxqdAPElK3i1UytVNqahw1+pWplCOajQHxOmHgsO+nkhVncNFV9MGRJAnV0bePLnC6t1BhdmPUKviHCKdRsgAOGYcBBBHejNA+FcQw1MM5beGy62mwOErzu4YWVjlEEj6rteC3ctAKEu2urTTUjC1OaChHG7vqWH8xyb4/0Q2AcXmveCmNGw3SYGrijHS2m1lrkAPdAGm/d3If0YoGXVnzJJgnfmSFq6W3E0CDuW/NVNcOfo+63Iiee8H5rPdsh080Rp08dAcwT95IXXJ7/ALCJelOIaiZ7v6qXZOhB8lGeai7kqysDcjGfhn6pqVbfbRQoSDr3+mf0Up9CUG9rgc9VaxuqH2b4MbQtzfmo1E8CSv6tJGtMpTJ4TIyUKJCmQolBAKurUhWkLHXdJyRKg4q+ypyZ5LKSiNo3Id6qRuYYyV7OI1KfunLkdPJNb0xuoVGh5jQb9wWXUWoXtZ2GXZnYDQeP9EVpUiNzmhXDYJ7OgylFg12xQU3dGrGWFw9HDw5rUMiY0TteYzCdzhzVAPjXCw84wO1v38io8PYW5IxVKB8Ye9nbjs8xt4qDoG3TQwuOwknwXJ0DUvK2JwIptnwjl4lUXnGJouaDmcvVGuiTALeebnH6fRVny14cIjYclzvSmp2Wt5u+SP3NVcnx6pNVg+sb/wBFFy6brB34QEc/ihF00glEWHsjwQ26dLiqmXTNiSFQ75+iiVJpz7tyqwZ52iP0TscQNiFDrs+5IyEGm3aZxbALfY0y4iNsz4BZ7ZkNHf8AVaLQEEDTNRqCEJJ5SR0Dkk6YhGDFMSnWW7q7DzRKrr1pyGnzVBSlMqyUSUXoCICyWVHMH7ha6pgqNQ15XIGWm6upnING+bj3LOM5GqvtaeI/P9EUf4Xp2RkiQcQh9o/A3lAWm3vWu3BUbbBVKgancmpODhI057K0NRFLTJ3Cpu2B1NzTuCFfU1VFRB55Upy4gaT5awup6PXPYwcpQC5p4aridJzjx3RqnWYXYm9mYkd4VrGPbZfuwlcvdvx1JHcPNdDe1RgJnRcza+9O8kpFzGKjsoQu4E57q6pXyWSrURLVfoo1xGXn3rRaMnxC107MBuJ3acTqqzIDlXWzScltqWzJ0PqpNpiIAUXS2mJgIiyxcIdkQg0uBEHREbe7eSBMyEammnEkqsSSjTNKYq827uSgaDuRVZZ6joEoc5y33lJ+ga4+SxdS7kUZqqVfTtnQ1xBDXTB2dhMGEZ6P27aRNatAHuNZEucXtJnubhBz71lvrk1Hlx8AAAABsABoho9jGJPdxMhZaVXDPet/BrJ9zXpW7CA6q9rAToMRzJ8BJjuRd8M9g+C5xjJpjxOQjnqiHBWS4jvXZW/QOzdxSpwwGuH06WMXBe0h1TAx8GiGRgips6ctUP6E8GDr82lUwRVqU34SJ/DDpLSR/ByRY57pFxJ1MdWGwSDnM5eC5mjXc3QmNxzXoPTDo1RHG6doXuFuTRa52NmMNfm8zESCT+7lC6C59mnD2N4k6bo/sLZH4tL8X+ztr5/g9n3oylIZTLtzfR27FRo08OXkjtSks/STobb2DrV1A1XdfSdUcKrmuwkYIDcLW/nOvILselPR2nbUaL2OeS+Q/EQQDhB7MARnKG3EOWW8qady7S+4BQbw5t2Os6xxw4cbcIONzcUYJ/dmJ31QjopwqjdXTaFYvAeDhcxwaQWtLs5aZkDuUaecXlsXVapg9x2kgffmsdIub2SvQK/CaNO8vKL21DToiu4dtod+E3sEuwEdo4REZY+7OviXRuhb8Np8RrtfVNaqGMpNeKYawh5xOfhJc4inkMhmJVZscRWrEjDsdfALNQ5r1il7KqLeKCzqVarqFW3fWpvaWNqgscxpY4lpaYxTIAmRyVVD2fWBs6Nx/ah1l4LXD11OADdG3xz1Mk9nFHfCrNeXHM+CRpAtPPmur6f8ApWN6+2ol7mNYwgvLS6XtDjJDQNTyXOsHZjvCgqZThzgOa0A7Khzu0fEq0IqbgoAKYzzUJQVuZuiFgJE7tkeRCxGZV1lrn5eSLO1spKEJ0adA2mnNBO8EaK6lUBCisVanAJQalTl7QZzIBgSdc4G6O3/ALp8EL4YR1kklsAkOGx0EyN5jxIRKo45Xx1fexANEQMInMGW7OEEHLaENK3cYqYqzjiDgQ0gjKQRIkbHPPvlD3FVzVPK6T2bH/etl/jD/S5czUXR+zN3+9bL/Gb8nKo9B6TdIv8AZ/Hbm56vrYY0YcWD3qFLPFB/LyXF9G+IGpfXF44mnlcV8IMwKrwwjFH/AFcMwD4LZ7Y7rDxW7GX/AII9aFNAeDW7nW96WAlzqFCnTA1OK4oucB/7ZlZrrjLeZN2O19sVSnacXt6/VYmtpUnBgPVtc1j3gguAMcshojnBOPuvLTjNb9ne3r2GYc1zaYbaNp9pzi0nJs5NQP28VS51jWNNwLqL2tLoElppuJw92PKfTnb7MLdtThPEqpLg9jKgBBIkGiS4OGjp0z8oKnPh0lx6zvPvv5sXFOk54jVtKYpdUaTRSBx48WMsaD7ow+7pnqu/6Q1qlTh9J5a0htZ4xYyXGHVW5jAOXNeSdFaYfe29OMnVGgxyBk+cBenOo1RwgB2MAVCSwgZDHObonPHz5rPPbr8OyYzX5/rDe2r3cPZXcwYR+HSIcJwms5z3OHe4ADkGzugnR66NK7t3gaVGDYe8cJz2yJXRX9D/AHbTdjqOLnZMkdWxrajphoAmTudz3ZcbWJb2gTIzHcQcvipNxvKY5XxqTjv09+Rj2k/gXd69zS016duAPejG4F2Yyz/Zj6q28pG96OUCxnWMtX4qga78T8PrGOmnGXZqB/vaZoh7U2OwW4fL3VhUfiyJ7AAZMAAQKzsgNyZQP2edI22FwKTyOorEMqTmA4mGvA3iYcdIPctyeXnzympJJqfUq3tda68pXgtY6qjUo4DUMO6xzHYsYpmIwaRujTOI4Oj9tc4Jw3ra+CdYvX1cOKPKY8lwntW6NNsLs0mCKVUdZSH5WyQWf5XD0IXXXrf7q0f8Uf8AcPWpHLLKXqa9f3a4fplx8312+5NPq8TGjDixxgGGcUDWJ09UEp6f5m/NM4/L/wCyenoP5h8wjC23otIJOsn5q5lsF0HRunT6huJkkl2cfxFFQyj+Qeijccd+yjmqzZhdvgo/k+CrNKhuweiH2caLdqTKABnkCuyFrQj3B6LJxO2ohnZbBkeiDmOrSRHqW8kkabaT5VVSWmRpuouydKv1CDJWqEqHCntpveS8NIaCAYhwntDMiSBmMxmFZUZBWa4aDtmiVg4w38VzhhwuzGEYRJAJy1Bkz5oa4Lt6LhXYG1BiOnYAa5rg3YOEEan3hyhA7nhr6TsNRpEzhOUOA8CqxoBcEc9ntdtPidm95DWiuySdBilok7ZkLJeURhBA3Q57VUs09x4cz+911Iy6gHPSOooCfBea8erNNHilRhDmVuIsa0jQtabqpIPL3fgg9TpDemmaRuqxYW4SC92bPyF2pb/CTCx/7QrdT+z9a/qZxdXiODFMzh0lDb1D2s/icG4PXOvVsafF9BhPxpqz2SvjgvFjybUP/wAcrzO96QXlWn1NW5rVKWXYdUc5nZzHZJjKFs4Hxu7o0yylc1qdOT2GOcGZ6y0HdQnYn0Tf/aW1NqdG6qH/ACW1WPjC9F6EVi/g1yxoJawvc6IEYWU3Ce7InLkvJbTiFWhidRqvpSIcWEtlvIxt3Ix0f6R3NAGiK1Wm2T2A5zRJ1lvepW8by9ZfSA4NTdu6oJJ7qjwB3Du7zzWX2t27RUohoAmm4mMs8Wq5uh0hr4A1teoGgZNxGBHISs97xKtVcHVKr3ub7pc4uI3ynTNF53y6P2y05o2RH7tN/pFKUL6V1mv6OWJBBis1riIycG1wQY0M7Ide8TrVmhtWrUqDYPcXAbZSuabd3FqXNpVajGuIMNJwujQlumIZZ6iESx2Pt7qNdeWrJBcyg4uG4xvGGfHCVovj/daj/jD/ALh680rOe97nvc573GXOcS5zjGrnEklbn8cujS6k3FY0oDerL3YMIyjDMQqyDuOvh9fv+iZm3ipVN/AfRRGg8T8iiO16ON/s1PwJ9XFE4WDgQ/s9L+RvxRBFKFVeMlh8j6K4KL+XNFhUzIHgsPFjk0fxfILfv4obxb3mjxRZ2G4UlHNJRtJ4T03QmKiiLnZrM+mrWlIoGs7k03SC6P3mgxiHI6omxrazQGNY1pBDjUbTL5EDIh4MnMz+qEOYosbDg4agyDAMeqJYlf8ACXOYOpbUqMicRaBME+7BOIRuuae1dnTumuw9e50NJMMY0AiI7ZaWkxnolxHhdPA5z6QptaZZgLetqtjcYjmTtCrNjhnNVZC6CvwXFDh+EH+4x8ueTEwYAjQ+ChR4E0k4qhdgze1jc5iQ1ricyef9FWNABRbhts+oIpsc7IuO2UxMn0W9/DKNNoLgADnUxmXsbEtYwZ5k5E6nPREbLjoDTTot0MhzgJAHuhg2DVKsiijwltDDVrnG4CW02xhxj80+9r4ZIVxAuc4v31P33IrUY55lxJ8Vay2GkZKN6ZuEXUjXTZFhWlc3bsNKsWbbeGoRc3QbmchzRZW9r881i4nRkzt+vySo3GISAYGpOXw1WqqAWkdyKCGkomhKItp5SnFJAHrWRgwsbgQAD3/IrpDTQ++tZBjXP5Ks3F1HBhFGkP8Aps/0hbSVRYsilT5hjf8ASFa105/eSIfFyHqkApJkQ5CFcSPbE8iiqD8Qd+J4N+qNYscpJSElGiAUSFaAouCCCcKUJ4QINUuqTsV4QUFijUaCMsjsRkR4EK1zU2FBzt2a9OR1j4JmZJPqcwstS9rGJqPy0gxnzManvK6e5oh7S0rmK9ItcQdlWLGfBnJzJ1O/mVotnYXAjZVhSBRHW25BAPMSpyhPCLrs4TqNPBbzUUdAvjjO014/lPzH1VtEg9+QPopcTbNN3dn6ZrDZVxLfAz9+SJ5EqBAecu/MnOeTUWqUpGW6EMeMQILoOXZ1nXP73RqyBjTxnVAPptglp8lbgU7+nBkahPTMiUVUWLPVYiGBUVWINPArnI0zq3MeHLy+qIAQTyn4rnKdU03h/I5+G66dunjmqzTJBQ08E8oykSg1377vJF0FrGXv8fkjWLPJSTYklGlyWFOEpQNCcBKFIIFgVjE7FNBU4qBSdqoSgRcgvGaXaDueviEZWXiFHEw8xn6Ilc8UymQokKsHp1CDI1Ry0uMYnfdAVda1y1wPqiy6HX5iOa563cWmNwfkuga6QCNCgN43DVd35+uai5Ctu4EZZeEwYMxGyNcMrDICcxof66oBw84iCPuO7vRSzc6TG3Mn4BFgxeU5CHWzocWnQ6eKLuzbyQi7p7jVCNire1PQqYmypOUUNuWItwm4LqQ3LThPlp8IQ65Cl0du+3UpjuP0+oViUeE8lZTpbqvrHdycVHdyrC4hp08/0XOR7x/iKMVKjhJ5oHTcc/E/NRqIwkmxFJGkmpwVBqnCCQCm1Vgq5gyQJqarUgKULPUKCJKcOUAVIoFiSKUJIOdu6eFxHp4Kgovxeho4eB+iElVioqJKkVAognwi4/cPiPqq+M0+213l6Zj5rDSq4XA8iiPEnYmzyIPqou9xq4cI81rLDiBzjuMZlYOGvkItTRqCfD5gg6bKF4xStH6LVdsyQ8g1q+HYdj81tqLBdMzy+yra1yBTxfcqKwcRvA0wMysvRuvF1P5mu+h+ix3LySSrOj3/ADLP83+krTFrvG1lIVnaKjDuljQQv7mAJOaFWr5bCs424QIOapsCIUaiPVHmkrUlBhZspu0TJKqs/VWhJJA7vos1X6JJIK6X38FYEySCTNUikkgov/8Ahnw/RAXJ0kZyVqJSSVYQK31fc8gkkixZw5F6KSSjc6brbZbqmiSSJQu4WSr/AMI/zfokkig1ZWcE/wCYb5/IpJKs3t1w1CZ2oSSRYDcV99PZ/RJJRpYkkkoj/9k=",0,13,https://www.youtube.com/watch?v=9dBVguBF-lU
14,Forever,Gyakie,https://tooxclusive.com/west/wp-content/uploads/2020/08/Gyakie.jpg,0,14,https://www.youtube.com/watch?v=6unnNvyupos
15,Hallelu,"Masterkraft, Zlatan & Bella Shmurda",https://tooxclusive.com/wp-content/uploads/2020/12/Hallelu-ft-Zlatan-Bella-Shmurda-mp3-image.jpg,11,9,https://www.youtube.com/watch?v=wmry8mZTzJo
16,Ginger,Wizkid ft. Burna Boy,https://i1.wp.com/media.premiumtimesng.com/wp-content/files/2020/11/Wizkids-14-track-studio-album-points-in-different-directions-1.jpg?ssl=1,10,1,https://www.youtube.com/watch?v=33xgszZJn_c&list=PL-vez4Zt4GfHznn2dLO0RggdWC-8FgRs1&index=2
17,Away,Ayra Starr,https://www.naijaloaded.com.ng/wp-content/uploads/2021/01/Ayra-Starr.jpeg,0,17,https://www.youtube.com/watch?v=SmbzdwnpZZs
18,Damn (Remix),Omah Lay ft. 6lack ,https://tooxclusive.com/wp-content/uploads/2020/10/Omah-Lay-Damn-Remix-cover.jpg,14,7,https://www.youtube.com/watch?v=ovu4cD7AzoE
19,Loading,Olamide ft. Bad Boy Timz,https://www.naijaloaded.com.ng/wp-content/uploads/2020/10/olamide-1.jpg,15,10,https://www.youtube.com/watch?v=MIBYzlMG9a4
20,Your Body,Mayorkun,https://tooxclusive.com/wp-content/uploads/2020/12/Your-body-artwork.jpeg,16,5,https://v.triller.co/2zO943
21,My Bebe,Omah Lay ,https://i2.wp.com/media.ghgossip.com/wp-content/uploads/2020/11/19162142/Omah-Lay-%E2%80%93-What-Have-We-Done-1.jpg?fit=1200%2C800&ssl=1,18,8,https://www.youtube.com/watch?v=rDseMJn2SLg
22,FEM,Davido,https://i1.wp.com/legit9ja.com/wp-content/uploads/2020/11/Davido-A-Better-Time-Album_IMG.jpg?fit=768%2C768&ssl=1&resize=350%2C200,20,1,https://www.youtube.com/watch?v=lta5go9P-go
